,y,max_cluster,max_random,netw_size,p1,p_si,p_ri,p_sw,k
0,0.6396665365108342,1.0,0.9869791666666666,48,0.7485807775633886,0.21570335672929863,0.75851436669147,0.7587970936910635,6
1,0.2762611697545321,1.0,0.6726497933884298,88,0.11609315689824218,0.6461795097219389,0.9213612979967928,0.21633150014466918,8
2,0.6575447264245797,1.0,0.9968955441928415,74,0.7048637311225089,0.40560250692271416,0.32166777161257143,0.40055185618362454,10
3,-1.933783362751485,1.0,0.01095690284879474,74,0.2470155735862174,0.124795371917366,0.6502255158560254,0.5537356461466953,4
4,-1.5889211236568406,1.0,0.0685595567867036,38,0.17688305516475278,0.1184552869626101,0.38086362094239135,0.256778492677305,4
5,-1.9902851990781911,1.0,0.0012168739859383451,86,0.062179335998117424,0.9894295528350749,0.0844930211945557,0.20418354909002634,6
6,0.6352560747356191,1.0,0.9754253308128544,46,0.5741689482804714,0.032419173535360835,0.5603610826558545,0.6988509810410435,8
7,0.4924805304146478,1.0,0.8472222222222222,36,0.4660876585355014,0.5453517741902215,0.4631857096425792,0.11364186102933849,4
8,0.6603970963840186,1.0,0.9997837370242214,68,0.9779744624715653,0.3403199491089115,0.809957835254789,0.494857866563686,8
9,0.5090261129112932,1.0,0.8501984126984127,84,0.5236699645340817,0.9168619684387118,0.7998551248808348,0.6433612413359802,4
10,0.6625849771545308,1.0,0.9993543388429752,88,0.8038661617817952,0.5631166459780733,0.06264889595658396,0.6194824967248714,4
11,0.6622779687785536,1.0,0.9994331065759637,84,0.9651387890241476,0.8154774389713416,0.9516395720182454,0.8338805073658984,4
12,0.4267974980685208,1.0,0.7902892561983471,44,0.5311346202999782,0.551561877004572,0.9744451898956008,0.9904345486751372,4
13,0.6316777641190635,1.0,0.9945987654320988,36,0.40079114520232784,0.17854629767021357,0.12317236357770467,0.561391826957821,10
14,0.6631057009646119,1.0,0.9998512790005949,82,0.6125901749684641,0.3421807754194217,0.01277068750663235,0.22870881987837555,8
15,0.5981092443659745,1.0,0.9348072562358276,84,0.17050424021969857,0.5599229225735974,0.33210175631341265,0.6278480433629205,10
16,0.6609842732259938,1.0,0.9989,100,0.8172375072868013,0.9361401861831293,0.2161902369045584,0.9250733787369324,10
17,0.21486261945715057,1.0,0.6271808999081726,66,0.2958469625862141,0.6435930755107496,0.9686615732917793,0.9365586562626037,6
18,0.6435182295098626,1.0,0.9933333333333333,30,0.7620505449988946,0.8708103173420908,0.6328573483591337,0.11046032005589035,6
19,0.45059782005924304,1.0,0.7951851851851852,90,0.44263226883223583,0.660031267663296,0.5459364451698877,0.8381325373793544,4
20,0.6504966803263519,1.0,0.9951923076923077,52,0.8601025235591387,0.9631316731274676,0.787097223065704,0.4037997239494193,4
21,-1.7189196862689426,1.0,0.0546875,16,0.24191453536076601,0.8050677252156312,0.5929830092189337,0.04165853314107637,4
22,0.6519894696738967,1.0,0.9993622448979592,56,0.8038817500664959,0.010046836512109358,0.029042304810592334,0.6654501424634878,4
23,0.5230829205236146,1.0,0.8616780045351474,84,0.23058916956662578,0.7348478047601626,0.662641640367174,0.5645629265940695,8
24,0.6628451611466736,1.0,0.9974074074074074,90,0.7945056065918993,0.1451459219686626,0.3068519894175289,0.1369828939000266,8
25,0.5926846217018681,1.0,0.985,20,0.6077428400037962,0.8875839292691127,0.4070875459957314,0.4029832892366205,10
26,0.6019082529243707,1.0,1.0,16,0.7874203739938445,0.6148934580178078,0.6537505709707,0.6514611090809832,10
27,0.6411739808242657,1.0,0.9799123447772097,74,0.6320563237067457,0.5523295831416146,0.9175056057988336,0.9111198784138632,10
28,0.6305941623914787,1.0,0.9822485207100592,52,0.15965927910508293,0.4832249704093632,0.04332312639549307,0.8634597526246928,8
29,0.618236291244531,1.0,0.9826388888888888,24,0.7050141663216025,0.6889161918101222,0.7580333245178543,0.4405922488967975,8
30,0.5217605837117141,1.0,0.8949704142011834,26,0.19585941625505532,0.5698743361939406,0.470549405490032,0.1025909903661415,8
31,-1.9774402099557598,1.0,0.003259637188208617,84,0.03562072868981092,0.37338240939283207,0.8993861962300539,0.2739051834635007,8
32,-1.989624437656509,1.0,0.0019463667820069203,68,0.11322077929444407,0.935590958739967,0.34400741007863245,0.9795993130541945,4
33,0.5861664864794782,1.0,0.925089179548157,58,0.3030659347265293,0.3096823593335549,0.662938995411919,0.3923851992201268,10
34,0.6482580256169201,1.0,1.0,36,0.9715589403706246,0.6526726197910563,0.6722137640138262,0.42088041849209135,4
35,0.6631205994630778,1.0,0.9994092627599244,92,0.924779817086379,0.8666710210934879,0.9755937276537253,0.8927405397433918,10
36,0.5572357147184251,1.0,0.8933906745133544,94,0.2511699543205558,0.7673843386151366,0.6849407979052519,0.10410179394562646,8
37,0.018571906821941785,1.0,0.536875,40,0.2068608946391921,0.05790615915382724,0.1949581494331778,0.5474058152077378,4
38,0.6524495958169026,1.0,0.9910518626734843,74,0.6776544752178375,0.8855762037673568,0.5817815428283067,0.9023403670651621,10
39,0.5958140705423242,1.0,0.9630102040816326,28,0.53203319692979,0.5166977708257667,0.19410931645321794,0.18115048338175033,4
40,0.6458443296256658,1.0,1.0,38,0.9566069819457668,0.5475404878891219,0.6750954976622449,0.058128967476394955,10
41,0.6485178840912547,1.0,0.9828125,80,0.7720542458100419,0.21472550915523225,0.9992255847160945,0.20735899642601974,6
42,-1.9411808628159755,1.0,0.0075,40,0.2403669556411584,0.7409022336961577,0.17673305540867779,0.4616791954846754,4
43,0.6139774188938119,1.0,0.9925,20,0.7172078753623164,0.9864108497893609,0.5345602045561013,0.6697943385676243,6
44,0.6452499021418884,1.0,0.9803602430555556,96,0.5074680077864667,0.8698256335690789,0.5606475986162087,0.4190112245644454,10
45,-1.4861365899680279,1.0,0.08024691358024691,18,0.011230458360921736,0.6408586972902447,0.9793971467031743,0.3125642797699587,8
46,0.651562315621105,1.0,0.9896030245746692,92,0.6260436520785804,0.4460470526629673,0.22212015113907835,0.8177273827030501,6
47,0.6352783691144186,1.0,0.9730612244897959,70,0.6487944666908714,0.22997024175364678,0.9373073383545792,0.3093237685653145,8
48,0.6450908177661563,1.0,0.982666015625,64,0.6197904383078509,0.8017219629757393,0.7789777656483574,0.05454865170686907,8
49,0.5530834954741563,1.0,0.9897959183673469,14,0.42382395733406364,0.7343116145225388,0.631391129405239,0.3183460944617722,10
50,0.6610909970765879,1.0,0.9990079365079365,84,0.9254920090100959,0.4955200449459898,0.8638694331944631,0.24810009516894937,8
51,0.5138876591016176,1.0,0.8695987654320988,36,0.5271323053404017,0.29562848024321076,0.6442154527444579,0.2596349811475108,4
52,0.46916754337827554,1.0,0.8427734375,32,0.14308653068559196,0.07787408441473975,0.7408879118119004,0.5895368002482655,10
53,-1.9813973464698946,1.0,0.0045351473922902496,42,0.01187602980300928,0.044269678107664245,0.7320617655456422,0.08984732849916832,6
54,-1.9997585495106094,1.0,0.0032,50,0.09331936525715323,0.7550059909525211,0.43245740702687285,0.20538831775116928,4
55,0.6327439513008687,1.0,0.9700484764542936,76,0.22063249736586932,0.332094180539935,0.16996514043071576,0.5069426945212981,10
56,0.5357287995695371,1.0,0.8720987654320987,90,0.21938509639670378,0.5401898678819057,0.4423329525576515,0.8732550230241887,8
57,0.6060171497608272,1.0,0.9756944444444444,24,0.5654895996443138,0.031798943199894625,0.7658534397115772,0.334267147927774,10
58,0.6403071711640602,1.0,1.0,24,0.998464200388409,0.268428432141925,0.6280734479488834,0.15686327382339704,4
59,0.6296764634634424,1.0,0.9674,100,0.11096842674864527,0.48542443181233996,0.13166247667975672,0.1980609859415442,10
60,0.6462694409249887,1.0,0.9879591836734694,70,0.7554027824731514,0.8963892803685988,0.4267906145722551,0.06148175376500142,4
61,0.5221365551228041,1.0,0.92,20,0.2020909978445169,0.9342337342056121,0.7654698015469338,0.4694508763774662,10
62,0.6402875074634359,1.0,0.9830729166666666,48,0.43478337555348634,0.24965976193127803,0.20444440587216628,0.7364489063831753,10
63,0.6243190797933277,1.0,1.0,22,0.9530988182529556,0.19658239943434774,0.4573122392200316,0.6332143543277087,8
64,0.5888327021137044,1.0,0.98,20,0.6417065419508861,0.5928669900081891,0.46976322115784996,0.8645800457644166,10
65,0.6025045679041897,1.0,0.962890625,32,0.5205689628863165,0.22258421465724887,0.17012175865717793,0.1596697018484129,4
66,0.6602207999061099,1.0,1.0,68,0.9610715681555647,0.0012266988347549024,0.12568799983809198,0.8108861022717947,6
67,-0.774852734191733,1.0,0.25206611570247933,22,0.15004979774799532,0.7257450846702654,0.8861895231862414,0.41411045181262474,6
68,0.6620661815794495,1.0,0.9998958767180341,98,0.8562039830260647,0.20466426561258189,0.07390457038155207,0.5372105202957016,10
69,0.5885572904555458,1.0,0.9222059897735574,74,0.4132415151394756,0.6369754894520622,0.8800827932022762,0.5170565063807493,8
70,0.6259298170428482,1.0,0.964,50,0.6011856485944764,0.29013415033911505,0.7859921553663825,0.1585423307103181,6
71,0.6452490484261246,1.0,0.983154296875,64,0.6339556785817445,0.25340649332468146,0.9242819583775713,0.36512552382588304,10
