,y,max_cluster,max_random,netw_size,p1,p_si,p_ri,p_sw,k
724,0.642439961621377,0.9969723183391004,0.9790224913494809,68,0.44287096493825184,0.5921886620887076,0.11227968367456265,0.20105548696270903,4
725,-1.9995440225501573,1.0,0.00390625,48,0.007881900417839982,0.9149456288915991,0.40510768109548945,0.9525562820244731,8
726,0.5588731951880402,0.9996301775147929,0.9996301775147929,52,0.9423066821979176,0.16134763321094192,0.9754748916262703,0.8595690224652103,4
727,0.0280586187488275,1.0,0.6444636678200693,34,0.18792650289484292,0.586945943617999,0.9262700395169386,0.9320798419200188,8
728,0.592287446519457,0.9995659722222222,0.9933810763888888,96,0.8573200004131152,0.09121203907995579,0.9097790499406165,0.9849961690886915,4
729,0.4674060660932549,0.9925,0.98,20,0.6652254186043268,0.2575879010914256,0.4459973902076898,0.14568151840550025,4
730,0.7233724192504135,1.0,0.9951523545706371,38,0.6943059451893709,0.6948981617130279,0.720213000682846,0.3342842952396057,8
731,-0.25733856793205967,1.0,0.7476851851851852,36,0.05586473458971086,0.2042605588241958,0.21958896725556976,0.46450189910995887,8
732,0.7106518127215949,1.0,0.9797830374753451,78,0.4573749797687171,0.2670452801004425,0.23496151352603034,0.8550421887374711,8
733,0.823094324776237,1.0,0.9994834710743802,44,0.8756914262354579,0.7740006331354984,0.5039469578067484,0.3821160038753284,8
734,0.6055582622920193,0.9998765432098765,0.9966666666666667,90,0.6762912467130892,0.8695380884189503,0.13173256021982183,0.5987583070529262,4
735,0.6330506532202613,1.0,0.9975,20,0.756870386785355,0.559721621690498,0.6764229816966488,0.6500725731547389,8
736,0.745710816390893,1.0,0.9754610350981558,82,0.5743550256576604,0.6467764132725716,0.8725063816100554,0.697811271519944,8
737,0.5623004547924966,1.0,1.0,54,0.8458039560302911,0.4693244113632893,0.03889679398999313,0.6407617176792807,4
738,0.39578324531435666,0.9219263642340565,0.7329059829059829,78,0.32734183459027866,0.1215455936133254,0.4222203551218622,0.18103026427325164,4
739,0.7920569048198082,1.0,0.9944564629529475,86,0.6810858454078208,0.91300590330631,0.6071583503752724,0.5673874916277617,8
740,0.5767692071976984,1.0,0.994384765625,64,0.7603670218044385,0.6569035761788635,0.37050735912135924,0.2912563484635746,4
741,0.5628792688114124,0.9993622448979592,0.9917091836734694,56,0.7590493254583771,0.7472119016291333,0.5538608672268595,0.5916562055477659,4
